# Новый год по-русски — diktant matni

# 59 ta jumla avtomatik ajratildi (pauzalarga qarab).
# Har [NN] dan keyin o'sha vaqtda aytilgan gapni yozing.
# Tinish belgilari muhim emas — tekshiruvda hisobga olinmaydi.
# Agar bo'lak noto'g'ri ajralgan bo'lsa, shunchaki yozib qo'ying, men tuzataman.

[01] 0:00-0:03 (3.6s)

[02] 0:04-0:13 (9.8s)

[03] 0:14-0:17 (3.3s)

[04] 0:17-0:20 (2.8s)

[05] 0:20-0:28 (7.4s)

[06] 0:29-0:32 (3.7s)

[07] 0:33-0:36 (3.8s)

[08] 0:37-0:40 (3.3s)

[09] 0:44-0:46 (2.4s)

[10] 0:48-0:51 (2.7s)

[11] 0:52-0:56 (3.7s)

[12] 0:56-0:59 (2.9s)

[13] 1:00-1:06 (6.1s)

[14] 1:08-1:10 (2.3s)

[15] 1:10-1:14 (3.4s)

[16] 1:14-1:18 (3.5s)

[17] 1:18-1:21 (3.0s)

[18] 1:22-1:30 (8.2s)

[19] 1:30-1:38 (7.5s)

[20] 1:38-1:45 (6.3s)

[21] 1:45-1:53 (8.2s)

[22] 1:54-2:00 (6.8s)

[23] 2:01-2:04 (3.1s)

[24] 2:04-2:09 (5.0s)

[25] 2:09-2:14 (4.3s)

[26] 2:14-2:27 (12.8s)

[27] 2:27-2:29 (1.9s)

[28] 2:29-2:36 (6.2s)

[29] 2:36-2:43 (6.9s)

[30] 2:44-2:50 (6.6s)

[31] 2:51-2:53 (2.1s)

[32] 2:53-2:57 (4.2s)

[33] 2:58-3:01 (2.8s)

[34] 3:01-3:07 (6.4s)

[35] 3:08-3:10 (2.6s)

[36] 3:11-3:16 (5.4s)

[37] 3:17-3:27 (10.7s)

[38] 3:28-3:36 (8.6s)

[39] 3:37-3:42 (4.9s)

[40] 3:42-3:48 (5.6s)

[41] 3:48-3:51 (3.2s)

[42] 3:52-4:00 (8.6s)

[43] 4:01-4:04 (3.4s)

[44] 4:04-4:07 (2.2s)

[45] 4:07-4:12 (5.6s)

[46] 4:13-4:17 (4.6s)

[47] 4:18-4:22 (4.5s)

[48] 4:22-4:25 (2.5s)

[49] 4:25-4:29 (3.7s)

[50] 4:29-4:36 (6.2s)

[51] 4:36-4:38 (2.4s)

[52] 4:39-4:49 (9.7s)

[53] 4:49-4:54 (4.5s)

[54] 4:54-4:58 (4.1s)

[55] 4:58-5:06 (7.0s)

[56] 5:06-5:10 (4.6s)

[57] 5:11-5:21 (10.5s)

[58] 5:22-5:35 (13.0s)

[59] 5:35-5:37 (1.9s)
